CCGCode,CCG,is_active
E38000001,E38000232,0
E38000002,E38000237,0
E38000005,E38000240,0
E38000009,E38000231,0
E38000011,E38000244,0
E38000018,E38000232,0
E38000019,E38000232,0
E38000023,E38000244,0
E38000027,E38000240,0
E38000029,E38000237,0
E38000037,E38000242,0
E38000039,E38000248,0
E38000040,E38000245,0
E38000042,E38000247,0
E38000043,E38000237,0
E38000047,E38000234,0
E38000054,E38000246,0
E38000055,E38000235,0
E38000056,E38000233,0
E38000057,E38000240,0
E38000063,E38000239,0
E38000066,E38000244,0
E38000069,E38000241,0
E38000072,E38000240,0
E38000073,E38000241,0
E38000075,E38000247,0
E38000076,E38000235,0
E38000078,E38000236,0
E38000081,E38000235,0
E38000083,E38000248,0
E38000088,E38000240,0
E38000090,E38000245,0
E38000092,E38000244,0
E38000098,E38000244,0
E38000099,E38000238,0
E38000100,E38000238,0
E38000103,E38000243,0
E38000104,E38000237,0
E38000105,E38000245,0
E38000108,E38000242,0
E38000109,E38000243,0
E38000116,E38000234,0
E38000124,E38000239,0
E38000128,E38000246,0
E38000132,E38000243,0
E38000133,E38000243,0
E38000134,E38000243,0
E38000139,E38000236,0
E38000140,E38000245,0
E38000142,E38000243,0
E38000145,E38000241,0
E38000151,E38000233,0
E38000156,E38000237,0
E38000157,E38000238,0
E38000162,E38000247,0
E38000165,E38000238,0
E38000166,E38000236,0
E38000171,E38000244,0
E38000177,E38000246,0
E38000179,E38000245,0
E38000180,E38000237,0
E38000181,E38000231,0
E38000184,E38000237,0
E38000189,E38000233,0
E38000193,E38000245,0
E38000196,E38000233,0
E38000199,E38000237,0
E38000203,E38000239,0
E38000206,E38000231,0
E38000211,E38000236,0
E38000213,E38000248,0
E38000214,E38000246,0
E38000218,E38000239,0
E38000219,E38000239,0
E38000004,E38000004,1
E38000006,E38000006,1
E38000007,E38000007,1
E38000008,E38000008,1
E38000010,E38000010,1
E38000014,E38000014,1
E38000015,E38000015,1
E38000016,E38000016,1
E38000020,E38000020,1
E38000021,E38000021,1
E38000024,E38000024,1
E38000025,E38000025,1
E38000026,E38000026,1
E38000028,E38000028,1
E38000030,E38000030,1
E38000031,E38000031,1
E38000034,E38000034,1
E38000035,E38000035,1
E38000038,E38000038,1
E38000044,E38000044,1
E38000045,E38000045,1
E38000046,E38000046,1
E38000048,E38000048,1
E38000049,E38000049,1
E38000050,E38000050,1
E38000051,E38000051,1
E38000052,E38000052,1
E38000053,E38000053,1
E38000059,E38000059,1
E38000062,E38000062,1
E38000064,E38000064,1
E38000068,E38000068,1
E38000070,E38000070,1
E38000074,E38000074,1
E38000077,E38000077,1
E38000079,E38000079,1
E38000080,E38000080,1
E38000082,E38000082,1
E38000084,E38000084,1
E38000085,E38000085,1
E38000086,E38000086,1
E38000087,E38000087,1
E38000089,E38000089,1
E38000091,E38000091,1
E38000097,E38000097,1
E38000101,E38000101,1
E38000102,E38000102,1
E38000106,E38000106,1
E38000107,E38000107,1
E38000113,E38000113,1
E38000117,E38000117,1
E38000118,E38000118,1
E38000119,E38000119,1
E38000120,E38000120,1
E38000121,E38000121,1
E38000122,E38000122,1
E38000126,E38000126,1
E38000127,E38000127,1
E38000130,E38000130,1
E38000135,E38000135,1
E38000136,E38000136,1
E38000137,E38000137,1
E38000138,E38000138,1
E38000141,E38000141,1
E38000143,E38000143,1
E38000144,E38000144,1
E38000146,E38000146,1
E38000147,E38000147,1
E38000150,E38000150,1
E38000153,E38000153,1
E38000154,E38000154,1
E38000161,E38000161,1
E38000163,E38000163,1
E38000164,E38000164,1
E38000167,E38000167,1
E38000168,E38000168,1
E38000170,E38000170,1
E38000172,E38000172,1
E38000173,E38000173,1
E38000174,E38000174,1
E38000175,E38000175,1
E38000176,E38000176,1
E38000178,E38000178,1
E38000182,E38000182,1
E38000183,E38000183,1
E38000185,E38000185,1
E38000186,E38000186,1
E38000187,E38000187,1
E38000188,E38000188,1
E38000190,E38000190,1
E38000191,E38000191,1
E38000192,E38000192,1
E38000194,E38000194,1
E38000195,E38000195,1
E38000197,E38000197,1
E38000198,E38000198,1
E38000200,E38000200,1
E38000201,E38000201,1
E38000202,E38000202,1
E38000204,E38000204,1
E38000205,E38000205,1
E38000208,E38000208,1
E38000210,E38000210,1
E38000212,E38000212,1
E38000215,E38000215,1
E38000217,E38000217,1
E38000220,E38000220,1
E38000221,E38000221,1
E38000222,E38000222,1
E38000223,E38000223,1
E38000224,E38000224,1
E38000225,E38000225,1
E38000226,E38000226,1
E38000227,E38000227,1
E38000228,E38000228,1
E38000229,E38000229,1
E38000230,E38000230,1
E38000231,E38000231,1
E38000232,E38000232,1
E38000233,E38000233,1
E38000234,E38000234,1
E38000235,E38000235,1
E38000236,E38000236,1
E38000237,E38000237,1
E38000238,E38000238,1
E38000239,E38000239,1
E38000240,E38000240,1
E38000241,E38000241,1
E38000242,E38000242,1
E38000243,E38000243,1
E38000244,E38000244,1
E38000245,E38000245,1
E38000246,E38000246,1
E38000247,E38000247,1
E38000248,E38000248,1
